"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Apr 06 12:33:00 GMT 2023","Thu Apr 06 12:33:02 GMT 2023","2512","vizsgaremek.Vizsgaremek_Python","test_conduit","TestConduit","","","test_data_change",""
"passed","Thu Apr 06 12:34:49 GMT 2023","Thu Apr 06 12:34:50 GMT 2023","1217","vizsgaremek.Vizsgaremek_Python","test_conduit","TestConduit","","","test_logout",""
"passed","Thu Apr 06 12:33:06 GMT 2023","Thu Apr 06 12:33:26 GMT 2023","20774","vizsgaremek.Vizsgaremek_Python","test_conduit","TestConduit","","","test_new_articles",""
"passed","Thu Apr 06 12:34:00 GMT 2023","Thu Apr 06 12:34:46 GMT 2023","45844","vizsgaremek.Vizsgaremek_Python","test_conduit","TestConduit","","","test_delete_my_articles",""
"passed","Thu Apr 06 12:32:28 GMT 2023","Thu Apr 06 12:32:46 GMT 2023","18332","vizsgaremek.Vizsgaremek_Python","test_conduit","TestConduit","","","test_registration_page",""
"passed","Thu Apr 06 12:32:18 GMT 2023","Thu Apr 06 12:32:24 GMT 2023","6234","vizsgaremek.Vizsgaremek_Python","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Thu Apr 06 12:33:54 GMT 2023","Thu Apr 06 12:33:57 GMT 2023","2411","vizsgaremek.Vizsgaremek_Python","test_conduit","TestConduit","","","test_list_traversal",""
"passed","Thu Apr 06 12:33:35 GMT 2023","Thu Apr 06 12:33:51 GMT 2023","15591","vizsgaremek.Vizsgaremek_Python","test_conduit","TestConduit","","","test_save_articles_to_file",""
"passed","Thu Apr 06 12:33:30 GMT 2023","Thu Apr 06 12:33:32 GMT 2023","2644","vizsgaremek.Vizsgaremek_Python","test_conduit","TestConduit","","","test_new_comment",""
"passed","Thu Apr 06 12:32:49 GMT 2023","Thu Apr 06 12:32:56 GMT 2023","7257","vizsgaremek.Vizsgaremek_Python","test_conduit","TestConduit","","","test_multiple_login",""
"passed","Thu Apr 06 12:32:15 GMT 2023","Thu Apr 06 12:32:15 GMT 2023","182","vizsgaremek.Vizsgaremek_Python","test_conduit","TestConduit","","","test_guest_home_page_items",""
"passed","Thu Apr 06 12:34:54 GMT 2023","Thu Apr 06 12:34:55 GMT 2023","948","vizsgaremek.Vizsgaremek_Python","test_conduit","TestConduit","","","test_list_data",""
