"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 05 18:44:49 GMT 2023","Wed Apr 05 18:44:49 GMT 2023","121","vizsgaremek.Vizsgaremek_Python","test_conduit","TestConduit","","","test_guest_home_page_items",""
"passed","Wed Apr 05 18:46:04 GMT 2023","Wed Apr 05 18:46:20 GMT 2023","15806","vizsgaremek.Vizsgaremek_Python","test_conduit","TestConduit","","","test_save_articles_to_file",""
"passed","Wed Apr 05 18:45:02 GMT 2023","Wed Apr 05 18:45:20 GMT 2023","17950","vizsgaremek.Vizsgaremek_Python","test_conduit","TestConduit","","","test_registration_page",""
"passed","Wed Apr 05 18:46:29 GMT 2023","Wed Apr 05 18:47:13 GMT 2023","44756","vizsgaremek.Vizsgaremek_Python","test_conduit","TestConduit","","","test_delete_my_articles",""
"passed","Wed Apr 05 18:45:31 GMT 2023","Wed Apr 05 18:45:34 GMT 2023","2701","vizsgaremek.Vizsgaremek_Python","test_conduit","TestConduit","","","test_data_change",""
"passed","Wed Apr 05 18:47:17 GMT 2023","Wed Apr 05 18:47:18 GMT 2023","1082","vizsgaremek.Vizsgaremek_Python","test_conduit","TestConduit","","","test_logout",""
"passed","Wed Apr 05 18:45:23 GMT 2023","Wed Apr 05 18:45:28 GMT 2023","4318","vizsgaremek.Vizsgaremek_Python","test_conduit","TestConduit","","","test_multiple_login",""
"passed","Wed Apr 05 18:46:23 GMT 2023","Wed Apr 05 18:46:25 GMT 2023","2301","vizsgaremek.Vizsgaremek_Python","test_conduit","TestConduit","","","test_list_traversal",""
"passed","Wed Apr 05 18:44:53 GMT 2023","Wed Apr 05 18:44:59 GMT 2023","6176","vizsgaremek.Vizsgaremek_Python","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Wed Apr 05 18:45:58 GMT 2023","Wed Apr 05 18:46:01 GMT 2023","2542","vizsgaremek.Vizsgaremek_Python","test_conduit","TestConduit","","","test_new_comment",""
"passed","Wed Apr 05 18:47:21 GMT 2023","Wed Apr 05 18:47:22 GMT 2023","923","vizsgaremek.Vizsgaremek_Python","test_conduit","TestConduit","","","test_list_data",""
"passed","Wed Apr 05 18:45:37 GMT 2023","Wed Apr 05 18:45:55 GMT 2023","17984","vizsgaremek.Vizsgaremek_Python","test_conduit","TestConduit","","","test_new_articles",""
