"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 05 18:54:18 GMT 2023","Wed Apr 05 18:54:20 GMT 2023","1976","vizsgaremek.Vizsgaremek_Python","test_conduit","TestConduit","","","test_list_traversal",""
"passed","Wed Apr 05 18:52:51 GMT 2023","Wed Apr 05 18:52:51 GMT 2023","116","vizsgaremek.Vizsgaremek_Python","test_conduit","TestConduit","","","test_guest_home_page_items",""
"passed","Wed Apr 05 18:53:55 GMT 2023","Wed Apr 05 18:53:57 GMT 2023","2165","vizsgaremek.Vizsgaremek_Python","test_conduit","TestConduit","","","test_new_comment",""
"passed","Wed Apr 05 18:54:23 GMT 2023","Wed Apr 05 18:55:08 GMT 2023","44051","vizsgaremek.Vizsgaremek_Python","test_conduit","TestConduit","","","test_delete_my_articles",""
"passed","Wed Apr 05 18:53:32 GMT 2023","Wed Apr 05 18:53:34 GMT 2023","2121","vizsgaremek.Vizsgaremek_Python","test_conduit","TestConduit","","","test_data_change",""
"passed","Wed Apr 05 18:53:05 GMT 2023","Wed Apr 05 18:53:21 GMT 2023","16933","vizsgaremek.Vizsgaremek_Python","test_conduit","TestConduit","","","test_registration_page",""
"passed","Wed Apr 05 18:55:15 GMT 2023","Wed Apr 05 18:55:15 GMT 2023","717","vizsgaremek.Vizsgaremek_Python","test_conduit","TestConduit","","","test_list_data",""
"passed","Wed Apr 05 18:55:11 GMT 2023","Wed Apr 05 18:55:12 GMT 2023","922","vizsgaremek.Vizsgaremek_Python","test_conduit","TestConduit","","","test_logout",""
"passed","Wed Apr 05 18:53:37 GMT 2023","Wed Apr 05 18:53:52 GMT 2023","14692","vizsgaremek.Vizsgaremek_Python","test_conduit","TestConduit","","","test_new_articles",""
"passed","Wed Apr 05 18:53:25 GMT 2023","Wed Apr 05 18:53:28 GMT 2023","3948","vizsgaremek.Vizsgaremek_Python","test_conduit","TestConduit","","","test_multiple_login",""
"passed","Wed Apr 05 18:52:55 GMT 2023","Wed Apr 05 18:53:01 GMT 2023","6128","vizsgaremek.Vizsgaremek_Python","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Wed Apr 05 18:54:00 GMT 2023","Wed Apr 05 18:54:15 GMT 2023","15378","vizsgaremek.Vizsgaremek_Python","test_conduit","TestConduit","","","test_save_articles_to_file",""
