"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 05 18:38:13 GMT 2023","Wed Apr 05 18:38:58 GMT 2023","44892","vizsgaremek.Vizsgaremek_Python","test_conduit","TestConduit","","","test_delete_my_articles",""
"passed","Wed Apr 05 18:36:45 GMT 2023","Wed Apr 05 18:37:03 GMT 2023","18015","vizsgaremek.Vizsgaremek_Python","test_conduit","TestConduit","","","test_registration_page",""
"passed","Wed Apr 05 18:37:48 GMT 2023","Wed Apr 05 18:38:04 GMT 2023","15760","vizsgaremek.Vizsgaremek_Python","test_conduit","TestConduit","","","test_save_articles_to_file",""
"passed","Wed Apr 05 18:37:21 GMT 2023","Wed Apr 05 18:37:39 GMT 2023","18086","vizsgaremek.Vizsgaremek_Python","test_conduit","TestConduit","","","test_new_articles",""
"passed","Wed Apr 05 18:36:32 GMT 2023","Wed Apr 05 18:36:32 GMT 2023","115","vizsgaremek.Vizsgaremek_Python","test_conduit","TestConduit","","","test_guest_home_page_items",""
"passed","Wed Apr 05 18:37:15 GMT 2023","Wed Apr 05 18:37:18 GMT 2023","2689","vizsgaremek.Vizsgaremek_Python","test_conduit","TestConduit","","","test_data_change",""
"passed","Wed Apr 05 18:37:42 GMT 2023","Wed Apr 05 18:37:45 GMT 2023","2505","vizsgaremek.Vizsgaremek_Python","test_conduit","TestConduit","","","test_new_comment",""
"passed","Wed Apr 05 18:38:07 GMT 2023","Wed Apr 05 18:38:09 GMT 2023","2326","vizsgaremek.Vizsgaremek_Python","test_conduit","TestConduit","","","test_list_traversal",""
"passed","Wed Apr 05 18:36:36 GMT 2023","Wed Apr 05 18:36:42 GMT 2023","6164","vizsgaremek.Vizsgaremek_Python","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Wed Apr 05 18:37:06 GMT 2023","Wed Apr 05 18:37:11 GMT 2023","4265","vizsgaremek.Vizsgaremek_Python","test_conduit","TestConduit","","","test_multiple_login",""
